date,home_team,away_team,venue,weather_temp_c,weather_rain_mm,weather_wind_kmh,weather_humidity_pct,attendance,projected_attendance,venue_length_m,venue_width_m,venue_capacity
2012-05-06,West Coast,Kangaroos,Subiaco,16.8,1.5,23.8,77,,26660.0,175.0,122.0,43000.0
2012-05-06,Port Adelaide,Richmond,Football Park,14.2,1.3,22.7,69,,31620.0,167.0,123.0,51000.0
2012-05-11,Melbourne,Hawthorn,M.C.G.,13.1,0.1,20.8,60,,62014.88,160.0,141.0,100024.0
2012-05-12,Adelaide,Geelong,Football Park,13.4,0.0,18.4,65,,31620.0,167.0,123.0,51000.0
2012-05-12,Brisbane Lions,Collingwood,Gabba,18.6,0.0,11.2,76,,26040.0,156.0,138.0,42000.0
2012-05-12,Essendon,West Coast,Docklands,10.9,0.0,24.7,67,,32860.0,159.5,128.8,53000.0
2012-05-12,Richmond,Sydney,M.C.G.,11.0,0.0,24.7,68,,62014.88,160.0,141.0,100024.0
2012-05-12,Greater Western Sydney,Gold Coast,Manuka Oval,6.3,0.0,18.7,74,,9300.0,170.0,130.0,15000.0
2012-05-13,Kangaroos,Western Bulldogs,Docklands,10.9,9.0,26.1,79,,32860.0,159.5,128.8,53000.0
2012-05-13,Fremantle,Port Adelaide,Subiaco,17.7,0.0,20.9,74,,26660.0,175.0,122.0,43000.0
2012-05-14,St Kilda,Carlton,Docklands,12.2,1.9,20.4,73,,32860.0,159.5,128.8,53000.0
2012-05-18,Collingwood,Geelong,M.C.G.,12.4,0.0,24.9,68,,62014.88,160.0,141.0,100024.0
2012-05-19,Essendon,Richmond,M.C.G.,11.5,0.6,15.6,75,,62014.88,160.0,141.0,100024.0
2012-05-19,Western Bulldogs,Gold Coast,Marrara Oval,24.7,0.0,13.0,50,,8680.0,177.0,145.0,14000.0
2012-05-19,Hawthorn,Fremantle,York Park,10.3,0.0,12.0,82,,13020.0,175.0,145.0,21000.0
2012-05-19,Sydney,Melbourne,S.C.G.,13.8,0.0,8.6,70,,29760.0,155.0,136.0,48000.0
2012-05-19,Port Adelaide,Kangaroos,Football Park,13.8,1.4,18.4,81,,31620.0,167.0,123.0,51000.0
2012-05-20,Carlton,Adelaide,Docklands,9.9,0.0,6.9,75,,32860.0,159.5,128.8,53000.0
2012-05-20,West Coast,St Kilda,Subiaco,18.3,0.0,19.7,59,,26660.0,175.0,122.0,43000.0
2012-05-20,Brisbane Lions,Greater Western Sydney,Gabba,16.4,0.0,9.4,74,,26040.0,156.0,138.0,42000.0
