year,model_name,scope,num_matches,num_games,missing_predictions,fallback_count,mae_margin,tip_pct
2025,market_only,all_matches,216,216,0,0,26.194444,73.1481
2025,market_only,common_market,216,216,0,0,26.194444,73.1481
2025,market_scoring_blend,all_matches,216,216,0,0,26.038038,72.2222
2025,market_scoring_blend,common_market,216,216,0,0,26.038038,72.2222
2025,player_lineup,all_matches,216,216,0,14,25.93068,71.7593
2025,player_lineup,common_market,216,216,0,14,25.93068,71.7593
2025,scoring_shots,all_matches,216,216,0,0,26.630732,71.2963
2025,scoring_shots,common_market,216,216,0,0,26.630732,71.2963
2025,team_only,all_matches,216,216,0,0,26.348055,72.2222
2025,team_only,common_market,216,216,0,0,26.348055,72.2222
ALL,market_only,all_matches,2258,2258,0,0,26.64659,68.4234
ALL,market_only,common_market,2258,2258,0,0,26.64659,68.4234
ALL,market_scoring_blend,all_matches,2258,2258,0,0,26.569416,68.6891
ALL,market_scoring_blend,common_market,2258,2258,0,0,26.569416,68.6891
ALL,player_lineup,all_matches,2258,2258,0,863,26.538291,68.512
ALL,player_lineup,common_market,2258,2258,0,863,26.538291,68.512
ALL,scoring_shots,all_matches,2258,2258,0,0,27.27088,67.8034
ALL,scoring_shots,common_market,2258,2258,0,0,27.27088,67.8034
ALL,team_only,all_matches,2258,2258,0,0,27.317777,67.8477
ALL,team_only,common_market,2258,2258,0,0,27.317777,67.8477
