year,model_name,scope,num_matches,num_games,missing_predictions,fallback_count,mae_margin,tip_pct
2026,preseason_structural_challenger,all_matches,215,215,0,0,24.735725,69.7674
2026,preseason_structural_challenger,common_market,0,0,0,0,,
2026,scoring_shots,all_matches,215,215,0,0,25.693767,68.8372
2026,scoring_shots,common_market,0,0,0,0,,
2026,team_only,all_matches,215,215,0,0,25.981315,69.3023
2026,team_only,common_market,0,0,0,0,,
ALL,market_only,all_matches,2473,0,2473,0,,
ALL,market_only,common_market,0,0,0,0,,
ALL,market_scoring_blend,all_matches,2473,2473,0,2473,27.133768,67.8932
ALL,market_scoring_blend,common_market,0,0,0,0,,
ALL,preseason_structural_challenger,all_matches,2473,2473,0,0,26.534333,68.4594
ALL,preseason_structural_challenger,common_market,0,0,0,0,,
ALL,scoring_shots,all_matches,2473,2473,0,0,27.133768,67.8932
ALL,scoring_shots,common_market,0,0,0,0,,
ALL,team_only,all_matches,2473,2473,0,0,27.201586,67.9741
ALL,team_only,common_market,0,0,0,0,,
